State,District,Area (sq km),Households,Total Population,Total Males,Total Females,Literate Population,Literate Males,Literate Females,Illiterate Population,Males Illiterates,Female Illiterates,Total Working Population,Total Working Males,Total Working Females,Unemployed Population,Unemployed Males,Unemployed Females,ST,SC,Hindus,Muslims,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,Households.1,Rural_Households,Urban_Households,Households_with_Internet,MPI HCR
UTTAR PRADESH,Lucknow,2528.0,860703,4589838,2394476,2195362,3127260,1742440,195960,1462578,652036,810542,1542806,1226399,316407,3047032,1168077,1878955,7506,948294,3537787,985070,23883,3877,4975,504,13249,1061721,344155,717566,68506,12.16%
PUNJAB,Ludhiana,3578.0,716826,3498739,1867816,1630923,2560225,1428348,145892,938514,439468,499046,1284822,1053600,231222,2213917,814216,1399701,0,923358,1502403,77713,1863408,2007,19620,1254,15817,1036821,395032,641789,58589,3.83%
MIZORAM,Lunglei,4536.0,33058,161428,82891,78537,121122,64515,707254,40306,18376,21930,78292,46230,32062,83136,36661,46475,153533,178,5231,1290,74,27543,93,5,68,38794,21479,17315,482,10.16%
BIHAR,Madhepura,1788.0,401289,2001762,1047559,954203,834577,517666,514432,1167185,529893,637292,777546,496046,281500,1224216,551513,672703,12532,346275,1753829,241760,170,60,133,81,4387,510278,486278,24000,1397,64.43%
BIHAR,Madhubani,3501.0,898515,4487379,2329313,2158066,2155338,1340085,110139,2332041,989228,1342813,1636938,1105947,530991,2850441,1223366,1627075,3990,587158,3652168,818912,564,328,442,169,11534,1088786,1047552,41234,5319,55.41%
TAMIL NADU,Madurai,3710.0,794887,3038252,1526475,1511777,2273430,1223810,651173,764822,302665,462157,1354632,902704,451928,1683620,623771,1059849,11096,408976,2760502,168881,520,199,1532,305,8602,1010441,417718,592723,34097,5.82%
UTTAR PRADESH,Mahamaya Nagar,1840.0,260860,1564708,836127,728581,942572,579157,402857,622136,256970,365166,484115,398126,85989,1080593,438001,642592,268,387554,1397225,159448,524,424,1289,63,4385,373033,288150,84883,3087,32.35%
CHHATTISGARH,Mahasamund,4790.0,248561,1032754,511967,520787,637963,364089,140976,394791,147878,246913,499260,291858,207402,533494,220109,313385,279896,139581,1008061,12570,2941,521,1495,1417,465,310567,274793,35774,961,29.85%
ANDHRA PRADESH,Mahbubnagar,18432.0,869451,4053028,2050386,2002642,1940646,1158386,417136,2112382,892000,1220382,2082501,1140067,942434,1970527,910319,1060208,364269,708954,3673456,334172,658,290,388,267,22452,1010015,848963,161052,6153,24.72%
PONDICHERRY,Mahe,9.0,7420,41816,19143,22673,36470,16610,246466,5346,2533,2813,11802,9093,2709,30014,10050,19964,0,144,27940,12856,3,21,14,3,21,12110,0,12110,574,0.08%
HARYANA,Mahendragarh,1899.0,171712,922088,486665,435423,630255,380440,266134,291833,106225,185608,338584,232935,105649,583504,253730,329774,0,156314,913251,5660,1737,75,644,15,405,267942,223726,44216,2624,6.29%
GUJARAT,Mahesana,4401.0,424479,2035064,1056520,978544,1502645,847499,168052,532419,209021,323398,812064,588699,223365,1223000,467821,755179,9392,162288,1885732,136431,1082,146,7087,88,2544,659743,476005,183738,7759,10.43%
UTTAR PRADESH,Mahoba,3144.0,158435,875958,466358,409600,488106,302283,826189,387852,164075,223777,349676,237153,112523,526282,229205,297077,647,220898,815142,57454,389,94,234,157,1523,246823,198298,48525,1316,35.29%
UTTAR PRADESH,Mahrajganj,2952.0,426565,2684703,1381754,1302949,1419144,881674,119834,1265559,500080,765479,994253,659465,334788,1690450,722289,968161,16435,492976,2196884,458650,1381,16030,243,338,7650,607079,573046,34033,2694,49.12%
UTTAR PRADESH,Mainpuri,2760.0,313690,1868529,993377,875152,1203885,712110,237925,664644,281267,383377,560840,466067,94773,1307689,527310,780379,478,368206,1746649,100723,475,8814,4161,38,5940,411258,338475,72783,2642,31.41%
KERALA,Malappuram,3554.0,793999,4112920,1960328,2152592,3311315,1597404,151492,801605,362924,438681,1062424,898157,164267,3050496,1062171,1988325,22990,308266,1135259,2888849,205,179,68,579,6225,1157129,634543,522586,27909,1.11%
WEST BENGAL,Maldah,3733.0,846991,3988845,2051541,1937304,2086432,1152019,288288,1902413,899522,1002891,1537847,1086461,451386,2450998,965080,1485918,313984,835430,1914352,2045151,747,359,639,7929,6459,958996,830318,128678,5357,34.48%
ORISSA,Malkangiri,5791.0,137599,613192,303624,309568,244706,147001,247661,368486,156623,211863,310666,170495,140171,302526,133129,169397,354614,138295,600219,1871,213,43,195,35,577,183723,167884,15839,448,58.66%
MIZORAM,Mamit,3025.0,17731,86364,44828,41536,60191,32977,426566,26173,11851,14322,39339,24016,15323,47025,20812,26213,82080,51,2989,1782,13,12328,25,19,104,20855,16726,4129,90,25.29%
HIMACHAL PRADESH,Mandi,3950.0,219145,999777,498065,501712,723747,393669,177787,276030,104396,171634,572671,297464,275207,427106,200601,226505,12787,293739,981412,9460,4081,2628,43,86,1191,462825,431129,31696,5333,8.35%
MADHYA PRADESH,Mandla,5800.0,250146,1054905,525272,529633,604962,348033,310499,449943,177239,272704,559649,300235,259414,495256,225037,270219,610528,48425,849518,16558,436,297,1789,170533,3324,316932,279674,37258,912,48.09%
MADHYA PRADESH,Mandsaur,5535.0,286808,1340411,682851,657560,834591,502898,85170,505820,179953,325867,679723,397714,282009,660688,285137,375551,33092,249024,1192588,125548,849,242,19029,77,958,384119,302287,81832,2324,33.00%
KARNATAKA,Mandya,4962.0,428625,1805769,905085,900684,1149649,638668,592175,656120,266417,389703,871408,575203,296205,934361,329882,604479,22402,265294,1712695,77801,322,299,3607,109,2430,562302,458867,103435,3367,6.30%
PUNJAB,Mansa,2198.0,149630,769751,408732,361019,423560,244037,447399,346191,164695,181496,328512,230739,97773,441239,177993,263246,0,258878,156539,10375,598443,123,1577,493,1284,196389,145603,50786,2673,9.99%
UTTAR PRADESH,Mathura,3340.0,423125,2547184,1367125,1180059,1507746,943346,575226,1039438,423779,615659,840939,635142,205797,1706245,731983,974262,1520,506580,2310776,216933,2872,883,2056,126,10359,585290,407488,177802,8726,33.78%
UTTAR PRADESH,Mau,1713.0,324424,2205968,1114709,1091259,1363044,773082,718873,842924,341627,501297,696747,475413,221334,1509221,639296,869925,22915,474537,1769937,428555,340,564,155,129,4179,451528,352207,99321,2656,32.63%
ORISSA,Mayurbhanj,10418.0,586253,2519738,1256213,1263525,1369397,794171,497871,1150341,462042,688299,1223534,697782,525752,1296204,558431,737773,1479576,184682,2113079,33706,661,162,109,351714,5299,753589,689110,64479,2950,45.06%
ANDHRA PRADESH,Medak,9699.0,668626,3033288,1523030,1510258,1637137,953406,509295,1396151,569624,826527,1442203,837874,604329,1591085,685156,905929,168985,537947,2637313,342449,1309,554,457,217,16688,789132,593653,195479,8635,17.87%
UTTAR PRADESH,Meerut,2559.0,579110,3443689,1825743,1617946,2141488,1254520,407978,1302201,571223,730978,1090539,898810,191729,2353150,926933,1426217,3390,624149,2183255,1185643,24912,1855,18544,236,18662,803823,381520,422303,23717,21.10%
HARYANA,Mewat,1507.0,160280,1089263,571162,518101,454897,308435,908436,634366,262727,371639,289964,224642,65322,799299,346520,452779,0,75251,221846,862647,592,516,1453,4,970,223635,187398,36237,935,62.50%
UTTAR PRADESH,Mirzapur,4405.0,394925,2496970,1312302,1184668,1428683,865837,584059,1068287,446465,621822,881996,613061,268935,1614974,699241,915733,20132,661129,2292534,195765,1133,341,701,27,4096,543115,465152,77963,4447,42.73%
PUNJAB,Moga,2242.0,193256,995746,525920,469826,627889,348549,365817,367857,177371,190486,359172,292379,66793,636574,233541,403033,0,363417,158414,9388,818921,178,436,365,4767,288439,214295,74144,7897,8.01%
NAGALAND,Mokokchung,1615.0,42690,194622,101092,93530,159494,83479,375031,35128,17613,17515,100067,57084,42983,94555,44008,50547,178431,0,9840,2057,78,442,66,6,286,55278,37536,17742,537,7.92%
NAGALAND,Mon,1786.0,41978,250260,131753,118507,119626,67432,296029,130634,64321,66313,147654,79425,68229,102606,52328,50278,238285,0,8102,3444,84,1256,314,1,565,51022,43607,7415,178,45.56%
UTTAR PRADESH,Moradabad,3718.0,796170,4772006,2503186,2268820,2263848,1357435,792421,2508158,1145751,1362407,1417811,1193439,224372,3354195,1309747,2044448,685,731406,2488265,2248392,7555,1260,2426,382,10569,1047916,692398,355518,11690,36.85%
MADHYA PRADESH,Morena,4989.0,362646,1965970,1068417,897553,1179685,747652,587082,786285,320765,465520,675993,525329,150664,1289977,543088,746889,17030,421519,1875495,76159,557,3234,6681,92,2660,414586,319298,95288,1781,32.36%
ASSAM,Morigaon,1551.0,184602,957423,486651,470772,539902,289698,947398,417521,196953,220568,351148,257984,93164,606275,228667,377608,136777,117841,451882,503257,113,65,244,11,1017,257481,232206,25275,1421,36.75%
PUNJAB,Muktsar,2593.0,174360,901896,475622,426274,524848,300401,108874,377048,175221,201827,335326,272699,62627,566570,202923,363647,0,381554,254920,4333,638625,240,744,433,920,224157,149507,74650,4571,7.71%
MAHARASHTRA,Mumbai,157.0,674339,3085411,1684608,1400803,2509022,1410680,165886,576389,273928,302461,1284396,1021009,263387,1801015,663599,1137416,25093,219934,1873762,773173,13471,134257,166000,31094,9099,1107321,0,1107321,121344,3.59%
MAHARASHTRA,Mumbai Suburban,446.0,2105604,9356962,5031323,4325639,7575485,4223029,112964,1781477,808294,973183,3735021,2944322,790699,5621941,2087001,3534940,104560,583302,6337132,1795788,47288,469568,343639,18345,22726,3078829,0,3078829,404757,4.65%
BIHAR,Munger,1419.0,263171,1367765,729041,638724,801817,473741,168028,565948,255300,310648,426658,327453,99205,941107,401588,539519,21404,183846,1252319,110416,338,95,145,61,2576,308063,222281,85782,2653,40.73%
WEST BENGAL,Murshidabad,5324.0,1570759,7103807,3627564,3476243,4055834,2177187,381588,3047973,1450377,1597596,2589907,1985667,604240,4513900,1641897,2872003,91035,897534,2359061,4707573,766,348,3037,7429,7491,1851965,1501066,350899,7951,27.23%
UTTAR PRADESH,Muzaffarnagar,4008.0,676642,4143512,2193434,1950078,2417339,1448528,118480,1726173,744906,981267,1291644,1081569,210075,2851868,1111865,1740003,317,561250,2382914,1711453,18601,1516,16345,60,6128,969850,673746,296104,10077,29.85%
BIHAR,Muzaffarpur,3172.0,945703,4801062,2527497,2273565,2509232,1487117,317859,2291830,1040380,1251450,1547586,1195308,352278,3253476,1332189,1921287,5979,751975,4032773,745546,933,288,382,98,15893,1119394,998694,120700,10290,48.00%
KARNATAKA,Mysore,6307.0,700968,3001127,1511600,1489527,1962180,1063766,165776,1038947,447834,591113,1314268,921803,392465,1686859,589797,1097062,334547,536643,2631985,290549,1255,16194,14419,493,6871,920982,540596,380386,28397,7.79%
ORISSA,Nabarangapur,5291.0,273423,1220946,604812,616134,470379,286984,183395,750567,317828,432739,610906,342641,268265,610040,262171,347869,681173,177384,1178005,6753,169,189,325,54,3299,372264,342840,29424,1324,59.32%
WEST BENGAL,Nadia,3927.0,1232282,5167600,2653768,2513832,3480555,1878866,227247,1687045,774902,912143,1842607,1554090,288517,3324993,1099678,2225315,140700,1546917,3728482,1382682,849,514,281,16893,4064,1549771,1081381,468390,12787,11.07%
ASSAM,Nagaon,3973.0,559340,2823768,1439112,1384656,1710716,921850,97705,1113052,517262,595790,979998,766728,213270,1843770,672384,1171386,115153,266350,1225246,1563203,3036,1073,1162,61,3143,799185,674999,124186,5121,30.51%
TAMIL NADU,Nagapattinam,2569.0,413837,1616450,798127,818323,1213008,640916,167900,403442,157211,246231,671994,461174,210820,944456,336953,607503,3756,509767,1435072,128617,184,450,963,110,3475,517740,399016,118724,5585,8.18%
RAJASTHAN,Nagaur,17718.0,578809,3307743,1696325,1611418,1758624,1102750,493255,1549119,593575,955544,1425882,857031,568851,1881861,839294,1042567,10418,699911,2833443,454487,366,163,12940,276,4156,842201,675712,166489,4449,20.79%
MAHARASHTRA,Nagpur,9892.0,1041544,4653570,2384975,2268595,3673808,1959220,214759,979762,425755,554007,1868560,1334211,534349,2785010,1050764,1734246,437571,867713,3492202,390974,20469,668050,24528,12181,10499,1308366,430844,877522,57964,6.72%
UTTARAKHAND,Nainital,4251.0,191383,954605,493666,460939,696500,385779,408883,258105,107887,150218,376181,256935,119246,578424,236731,341693,7495,191206,809717,120742,17419,570,356,181,529,298663,193086,105577,7265,13.39%
BIHAR,Nalanda,2355.0,477529,2877653,1497060,1380593,1519933,919558,315368,1357720,577502,780218,1045420,703405,342015,1832233,793655,1038578,1442,607672,2669775,198033,393,414,561,64,6435,616663,514141,102522,4156,46.61%
ASSAM,Nalbari,1052.0,155248,771639,396006,375633,531771,293184,425955,239868,102822,137046,267623,210202,57421,504016,185804,318212,23364,60216,491582,277488,62,27,1004,9,1038,238944,210706,28238,1631,16.94%
ANDHRA PRADESH,Nalgonda,14240.0,875939,3488809,1759772,1729037,2001019,1160757,664086,1487790,599015,888775,1741693,976428,765265,1747116,783344,963772,394279,637385,3249231,188646,937,241,250,132,14347,1030937,833504,197433,7715,13.35%
TAMIL NADU,Namakkal,3420.0,475511,1726601,869280,857321,1176131,653312,165664,550470,215968,334502,898245,531463,366782,828356,337817,490539,57059,345392,1673652,32483,183,108,84,199,2983,627484,370357,257127,8960,2.59%
MAHARASHTRA,Nanded,10528.0,665434,3361292,1730075,1631217,2189425,1255222,447024,1171867,474853,697014,1493953,925232,568721,1867339,804843,1062496,281695,640483,2501741,471951,13540,354189,5049,1273,9647,821682,591119,230563,7548,27.37%
MAHARASHTRA,Nandurbar,5955.0,323521,1648295,833170,815125,906509,512099,1018766,741786,321071,420715,792065,442898,349167,856230,390272,465958,1141933,47985,1521618,96182,685,4969,6191,2907,7276,405012,333440,71572,2579,52.12%
CHHATTISGARH,Narayanpur,4653.0,27982,139820,70104,69716,56621,33449,1136591,83199,36655,46544,71089,38186,32903,68731,31918,36813,108161,4979,129161,776,96,71,409,8542,165,33095,26916,6179,86,51.52%
GUJARAT,Narmada,2817.0,122174,590297,301086,289211,370336,211767,273874,219961,89319,130642,294795,174282,120513,295502,126804,168698,481392,8733,559848,22600,147,80,373,2078,758,160369,138121,22248,576,37.11%
MADHYA PRADESH,Narsimhapur,5133.0,250286,1091854,568810,523044,718785,413491,242909,373069,155319,217750,477818,323464,154354,614036,245346,368690,145879,184155,1038628,39048,997,262,8125,2873,1007,283718,230659,53059,1603,30.55%
MAHARASHTRA,Nashik,15530.0,1222887,6107187,3157186,2950001,4345366,2397538,197744,1761821,759648,1002173,2763328,1746286,1017042,3343859,1410900,1932959,1564369,554687,5237009,693052,8912,94783,38212,1795,9478,1668932,904661,764271,45039,18.31%
GUJARAT,Navsari,2246.0,295131,1329672,678165,651507,1001909,539471,268528,327763,138694,189069,591834,407881,183953,737838,270284,467554,639659,35464,1225087,78669,2459,601,13386,2823,914,409156,267739,141417,6726,9.75%
BIHAR,Nawada,2494.0,338247,2219146,1144668,1074478,1091012,659474,23172,1128134,485194,642940,817041,539439,277602,1402105,605229,796876,2045,565112,1964620,244394,250,176,279,80,8048,424874,379551,45323,1841,51.72%
ORISSA,Nayagarh,3890.0,228315,962789,502636,460153,688362,392333,74708,274427,110303,164124,343633,284591,59042,619156,218045,401111,58691,136399,955754,5278,107,33,24,12,1198,288334,261646,26688,1163,20.49%
MADHYA PRADESH,Neemuch,4256.0,179746,826067,422653,403414,508834,307889,32843,317233,114764,202469,418682,245708,172974,407385,176945,230440,71441,111162,741288,67324,1110,224,14165,115,333,242197,174235,67962,1945,31.87%
NCT OF DELHI,New Delhi,35.0,33208,142004,77942,64062,114179,65678,119824,27825,12264,15561,59541,46940,12601,82463,31002,51461,0,33245,124482,8480,2933,312,679,66,200,52664,0,52664,7366,4.16%
ANDAMAN AND NICOBAR ISLANDS,Nicobars,1841.0,9288,36842,20727,16115,25332,15397,432033,11510,5330,6180,17125,12714,4411,19717,8013,11704,23681,0,8681,1336,343,119,0,248,38,15958,15958,0,57,5.28%
ANDHRA PRADESH,Nizamabad,7956.0,593234,2551335,1250641,1300694,1389810,790214,418404,1161525,460427,701098,1261076,684320,576756,1290259,566321,723938,192941,371074,2123426,391596,2357,1847,542,146,11768,720298,565165,155133,5261,21.06%
NCT OF DELHI,North,61.0,180044,887978,475002,412976,681517,381615,554096,206461,93387,113074,296446,257575,38871,591532,217427,374105,0,165663,726443,119792,19066,1824,13049,81,467,301071,4512,296559,21418,2.41%
ANDAMAN AND NICOBAR ISLANDS,North  & Middle Andaman,3736.0,26199,105597,54861,50736,78683,43186,187630,26914,11675,15239,38579,30612,7967,67018,24249,42769,758,0,81163,2165,77,84,4,47,187,40185,39091,1094,388,9.32%
NCT OF DELHI,North East,62.0,406125,2241624,1188425,1053199,1611588,912481,327604,630036,275944,354092,661386,594353,67033,1580238,594072,986166,0,373758,1529337,657585,17424,2388,24673,48,1046,487581,5326,482255,30390,7.35%
GOA,North Goa,1736.0,191766,818008,416677,401331,663060,351738,288587,154948,64939,90009,327658,239125,88533,490350,177552,312798,56606,17606,622213,57941,618,553,546,166,1802,325089,115859,209230,23440,3.33%
TRIPURA,North Tripura,2036.0,152355,693947,352860,341087,520402,275646,371023,173545,77214,96331,248667,186034,62633,445280,166826,278454,179426,114968,507967,105737,151,34717,307,70,936,192621,150437,42184,997,30.65%
WEST BENGAL,North Twenty Four Parganas,4094.0,2348683,10009781,5119389,4890392,7608693,4056046,220419,2401088,1063343,1337745,3571624,2945189,626435,6438157,2174200,4263957,264597,2169084,7352769,2584684,9394,5818,4452,2930,22801,2859140,1209337,1649803,105185,9.80%
NCT OF DELHI,North West,443.0,736253,3656539,1960922,1695617,2707855,1541952,637112,948684,418970,529714,1188545,1022419,166126,2467994,938503,1529491,0,697237,3211042,291330,92129,2281,43460,345,1852,1026867,67592,959275,114044,6.84%
ORISSA,Nuapada,3852.0,152210,610382,301962,308420,299383,180903,301978,310999,121059,189940,305438,168155,137283,304944,133807,171137,206327,82159,601092,4952,724,76,905,22,833,209127,197258,11869,757,37.80%
MAHARASHTRA,Osmanabad,7569.0,351281,1657576,861535,796041,1137810,644304,570730,519766,217231,302535,773916,473795,300121,883660,387740,495920,36039,265184,1437623,178925,340,28216,4530,195,6805,444990,367158,77832,3209,17.75%
JHARKHAND,Pakur,1811.0,182317,900422,452661,447761,352881,206989,596185,547541,245672,301869,404584,234012,170572,495838,218649,277189,379054,28469,410127,322963,356,283,222,88760,1846,217175,200588,16587,328,60.66%
KERALA,Palakkad,4482.0,637220,2809934,1359478,1450456,2239492,1122600,145765,570442,236878,333564,1042340,746121,296219,1767594,613357,1154237,48972,403833,1875980,812936,220,238,78,400,5685,894341,665899,228442,27162,0.62%
JHARKHAND,Palamu,4393.0,358754,1939869,1006302,933567,1024563,621706,200945,915306,384596,530710,713175,473042,240133,1226694,533260,693434,181208,536382,1683169,238295,734,188,284,5681,5354,407904,355529,52375,2155,45.46%
RAJASTHAN,Pali,12387.0,418157,2037573,1025422,1012151,1085693,667381,331693,951880,358041,593839,842327,523077,319250,1195246,502345,692901,144578,398096,1870543,143476,1540,141,18974,52,1502,652717,512909,139808,4043,23.62%
HARYANA,Palwal,1359.0,171157,1042708,554497,488211,599796,379696,340790,442912,174801,268111,309563,241464,68099,733145,313033,420112,0,203123,826342,208566,3971,345,915,20,1617,249159,186069,63090,4283,26.98%
GUJARAT,Panch Mahals,5231.0,446611,2390776,1226961,1163815,1440805,858054,510173,949971,368907,581064,1097507,673565,423942,1293269,553396,739873,721604,100446,2220974,158513,662,337,5236,131,2060,567601,463363,104238,3456,41.52%
HARYANA,Panchkula,898.0,117107,561293,299679,261614,405318,229862,351103,155975,69817,86158,211479,164865,46614,349814,134814,215000,0,101830,490702,23451,40951,1008,1626,90,882,164551,70895,93656,18615,2.47%
HARYANA,Panipat,1268.0,235640,1205437,646857,558580,786599,464136,374653,418838,182721,236117,412318,328667,83651,793119,318190,474929,0,206213,1083936,86622,25064,289,4647,99,2519,327306,173502,153804,10024,8.12%
MADHYA PRADESH,Panna,7135.0,228709,1016520,533480,483040,552559,332140,438859,463961,201340,262621,431998,275375,156623,584522,258105,326417,170879,207990,974748,35214,186,37,4734,218,965,288923,256744,32179,653,42.63%
ARUNACHAL PRADESH,Papum Pare,3462.0,35730,176573,89182,87391,121048,65794,1019499,55525,23388,32137,65772,41263,24509,110801,47919,62882,117216,0,57027,6148,310,4768,139,22586,1198,50488,20308,30180,2477,12.85%
MAHARASHTRA,Parbhani,6214.0,361130,1836086,942870,893216,1157814,666291,410806,678272,276579,401693,822797,501422,321375,1013289,441448,571841,40514,247308,1328385,306364,1371,187899,6238,262,3486,427239,293480,133759,3982,23.28%
WEST BENGAL,Paschim Medinipur,9368.0,1301610,5913457,3007885,2905572,4078412,2266913,236284,1835045,740972,1094073,2509159,1757358,751801,3404298,1250527,2153771,880015,1128269,5056953,620554,2854,2019,1550,184278,21962,1565383,1364335,201048,8970,23.82%
BIHAR,Pashchim Champaran,5228.0,710461,3935042,2061110,1873932,1759481,1091226,315448,2175561,969884,1205677,1478947,999282,479665,2456095,1061828,1394267,250046,553944,3047427,865090,926,1337,296,1895,9602,936134,839514,96620,3495,57.50%
JHARKHAND,Pashchimi Singhbhum,7224.0,302046,1502338,749385,752953,727561,439273,350574,774777,310112,464665,694863,392690,302173,807475,356695,450780,1011296,56986,423937,38103,946,389,52,945864,5460,400324,336928,63396,1959,57.60%
GUJARAT,Patan,5792.0,267633,1343734,694397,649337,837913,494631,740376,505821,199766,306055,554830,383074,171756,788904,311323,477581,13303,123408,1194745,142797,337,66,3602,66,1205,404138,301483,102655,2231,21.10%
KERALA,Pathanamthitta,2652.0,322684,1197412,561716,635696,1062553,499181,311154,134859,62535,72324,392794,281854,110940,804618,279862,524756,8108,164465,681666,55074,153,150,44,262,3659,472840,414992,57848,21015,0.83%
PUNJAB,Patiala,3325.0,372293,1895686,1002522,893164,1266791,711052,341127,628895,291470,337425,660267,549661,110606,1235419,452861,782558,0,465359,783306,40043,1059944,245,1914,1410,3141,517369,299279,218090,24274,3.75%
BIHAR,Patna,3202.0,975578,5838465,3078512,2759953,3459679,2028047,409986,2378786,1050465,1328321,1881886,1436411,445475,3956579,1642101,2314478,9069,920918,5356075,439952,4803,1062,2151,203,21668,1210094,657991,552103,40692,29.20%
TAMIL NADU,Perambalur,1756.0,149243,565223,282157,283066,375823,208011,148743,189400,74146,115254,299726,162639,137087,265497,119518,145979,2584,175289,521658,32702,83,39,38,26,376,188592,155413,33179,1507,7.61%
NAGALAND,Peren,1651.0,18475,95219,49714,45505,62204,34584,341445,33015,15130,17885,61390,32249,29141,33829,17465,16364,84242,0,4076,1850,15,459,10,2493,171,24277,20204,4073,121,24.58%
NAGALAND,Phek,2026.0,36639,163418,83743,79675,105893,57926,330190,57525,25817,31708,80277,41556,38721,83141,42187,40954,157146,0,3563,950,31,350,17,198,85,46198,38903,7295,170,27.25%
UTTAR PRADESH,Pilibhit,3686.0,362573,2031007,1072002,959005,1061095,654290,776161,969912,417712,552200,618605,534939,83666,1412402,537063,875339,1714,333558,1449007,489686,84787,360,138,45,3474,461390,371752,89638,2870,43.26%
UTTARAKHAND,Pithoragarh,7090.0,114730,483439,239306,244133,345550,189623,305294,137889,49683,88206,216490,113539,102951,266949,125767,141182,19535,120378,475105,6015,260,185,13,30,430,209943,183687,26256,1344,13.96%
GUJARAT,Porbandar,2316.0,124556,585449,300209,285240,393678,221621,155955,191771,78588,113183,231169,174118,57051,354280,126091,228189,13039,51830,549749,33565,248,91,515,38,743,183572,96015,87557,1653,8.45%
ANDHRA PRADESH,Prakasam,17626.0,860463,3397448,1714764,1682684,1904435,1107686,256929,1493013,607078,885935,1700567,991842,708725,1696881,722922,973959,151145,787861,3150195,220654,266,97,204,206,7051,1087575,873486,214089,6151,13.84%
UTTAR PRADESH,Pratapgarh,3717.0,533546,3209141,1606085,1603056,1931559,1121381,562904,1277582,484704,792878,1066601,704569,362032,2142540,901516,1241024,723,709252,2731351,452394,1451,7795,746,43,11441,752786,711085,41701,5149,36.94%
RAJASTHAN,Pratapgarh,4449.0,178726,867848,437744,430104,401515,250122,378853,466333,187622,278711,481294,251691,229603,386554,186053,200501,550427,60429,827293,25597,72,32,14077,27,392,234082,209813,24269,716,52.33%
PONDICHERRY,Puducherry,294.0,231513,950289,468258,482031,726649,380946,521155,223640,87312,136328,348105,256652,91453,602184,211606,390578,0,152406,855294,32674,245,366,1328,147,1907,291037,87296,203741,15437,1.30%
TAMIL NADU,Pudukkottai,4644.0,387679,1618345,803188,815157,1110545,608776,253443,507800,194412,313388,761693,471099,290594,856652,332089,524563,1283,284804,1428784,114194,119,81,32,293,1992,503941,399712,104229,4494,11.14%
JAMMU AND KASHMIR,Pulwama,1086.0,86241,560440,293064,267376,293958,178326,178805,266482,114738,151744,188420,138428,49992,372020,154636,217384,22607,402,13840,535159,9440,35,6,18,833,169223,147520,21703,1537,3.79%
JAMMU AND KASHMIR,Punch,1674.0,90261,476835,251899,224936,261724,163333,255433,215111,88566,126545,161393,117677,43716,315442,134222,181220,176101,556,32604,431279,11188,83,10,2,711,147408,132139,15269,346,24.27%
MAHARASHTRA,Pune,15643.0,2151503,9429408,4924105,4505303,7171723,3940210,182475,2257685,983895,1273790,4048993,2809816,1239177,5380415,2114289,3266126,348876,1180703,8090254,673704,27090,340404,127786,9873,26105,3222457,1165718,2056739,235018,5.29%
BIHAR,Purba Champaran,3968.0,981516,5099371,2681209,2418162,2276957,1407603,247755,2822414,1273606,1548808,1737539,1260774,476765,3361832,1420435,1941397,12461,649726,4086453,990349,668,878,464,104,15590,1243825,1142260,101565,7719,64.13%
WEST BENGAL,Purba Medinipur,4713.0,1114170,5095875,2629834,2466041,3923194,2149073,225131,1172681,480761,691920,1910320,1516096,394224,3185555,1113738,2071817,27952,745434,4343972,743436,746,317,574,359,3823,1363713,1193006,170707,9076,14.19%
JHARKHAND,Purbi Singhbhum,3562.0,476931,2293919,1176902,1117017,1507699,856526,137499,786220,320376,465844,837167,616249,220918,1456752,560653,896099,653923,111414,1550178,203999,38544,892,1670,465367,3097,604663,262537,342126,22042,23.99%
ORISSA,Puri,3479.0,367269,1698730,865380,833350,1291939,704857,88849,406791,160523,246268,621676,498461,123215,1077054,366919,710135,6129,325133,1644905,46094,193,243,94,302,2660,474224,402014,72210,3416,11.64%
BIHAR,Purnia,3229.0,647777,3264619,1699370,1565249,1332326,805261,299356,1932293,894109,1038184,1143318,803275,340043,2121301,896095,1225206,139490,390991,1989420,1255641,614,353,1450,650,8502,798596,712847,85749,4170,63.31%
WEST BENGAL,Puruliya,6259.0,567824,2930115,1496996,1433119,1624905,1002058,175606,1305210,494938,810272,1249642,801254,448388,1680473,695742,984731,540652,567767,2373120,227249,622,209,3052,309029,8188,752652,653219,99433,3551,49.69%
UTTAR PRADESH,Rae Bareli,4609.0,619707,3405559,1752542,1653017,1965843,1165965,513080,1439716,586577,853139,1204710,867393,337317,2200849,885149,1315700,1756,1030367,2975998,413243,2424,722,397,602,8539,778418,705025,73393,5184,34.10%
KARNATAKA,Raichur,8442.0,363853,1928812,964511,964301,979769,577213,656521,949043,387298,561745,903413,530373,373040,1025399,434138,591261,367071,400933,1634062,272022,538,2265,4156,29,5346,455848,330446,125402,5200,31.65%
CHHATTISGARH,Raigarh,7086.0,367962,1493984,750278,743706,951639,542756,343282,542345,207522,334823,690167,429211,260956,803817,321067,482750,505609,224942,1422986,17332,2117,781,409,1782,924,420916,354278,66638,3342,30.82%
MAHARASHTRA,Raigarh,7152.0,611790,2634200,1344345,1289855,1939994,1059692,655146,694206,284653,409553,1072969,753843,319126,1561231,590502,970729,305125,134952,2239370,227465,7477,121791,12260,1159,7226,959028,581868,377160,38570,30.82%
