STATE/UT,YEAR,DETAILS,Male,Female,Total
MEGHALAYA,2006,Parole released - Number of parole absconders,0,0,0
MEGHALAYA,2006,Parole released - Number of parole absconders rearrested,0,0,0
MEGHALAYA,2007,Parole released - Number of persons released on parole,0,0,0
MEGHALAYA,2007,Parole released - Number of parole absconders,0,0,0
MEGHALAYA,2007,Parole released - Number of parole absconders rearrested,0,0,0
MEGHALAYA,2008,Parole released - Number of persons released on parole,0,0,0
MEGHALAYA,2008,Parole released - Number of parole absconders,0,0,0
MEGHALAYA,2008,Parole released - Number of parole absconders rearrested,0,0,0
MEGHALAYA,2009,Parole released - Number of persons released on parole,0,0,0
MEGHALAYA,2009,Parole released - Number of parole absconders,0,0,0
MEGHALAYA,2009,Parole released - Number of parole absconders rearrested,0,0,0
MEGHALAYA,2010,Parole released - Number of persons released on parole,0,0,0
MEGHALAYA,2010,Parole released - Number of parole absconders,0,0,0
MEGHALAYA,2010,Parole released - Number of parole absconders rearrested,0,0,0
MEGHALAYA,2011,Parole released - Number of persons released on parole,0,0,0
MEGHALAYA,2011,Parole released - Number of parole absconders,0,0,0
MEGHALAYA,2011,Parole released - Number of parole absconders rearrested,0,0,0
MEGHALAYA,2012,Parole released - Number of persons released on parole,0,0,0
MEGHALAYA,2012,Parole released - Number of parole absconders,0,0,0
MEGHALAYA,2012,Parole released - Number of parole absconders rearrested,0,0,0
MIZORAM,2001,Parole released - Number of persons released on parole,1,0,1
MIZORAM,2001,Parole released - Number of parole absconders,0,0,0
MIZORAM,2001,Parole released - Number of parole absconders rearrested,0,0,0
MIZORAM,2002,Parole released - Number of persons released on parole,3,0,3
MIZORAM,2002,Parole released - Number of parole absconders,0,0,0
MIZORAM,2002,Parole released - Number of parole absconders rearrested,0,0,0
MIZORAM,2003,Parole released - Number of persons released on parole,2,0,2
MIZORAM,2003,Parole released - Number of parole absconders,0,0,0
MIZORAM,2003,Parole released - Number of parole absconders rearrested,0,0,0
MIZORAM,2004,Parole released - Number of persons released on parole,0,0,0
MIZORAM,2004,Parole released - Number of parole absconders,0,0,0
MIZORAM,2004,Parole released - Number of parole absconders rearrested,0,0,0
MIZORAM,2005,Parole released - Number of persons released on parole,0,0,0
MIZORAM,2005,Parole released - Number of parole absconders,0,0,0
MIZORAM,2005,Parole released - Number of parole absconders rearrested,0,0,0
MIZORAM,2006,Parole released - Number of persons released on parole,7,0,7
MIZORAM,2006,Parole released - Number of parole absconders,0,0,0
MIZORAM,2006,Parole released - Number of parole absconders rearrested,0,0,0
MIZORAM,2007,Parole released - Number of persons released on parole,10,0,10
MIZORAM,2007,Parole released - Number of parole absconders,0,0,0
MIZORAM,2007,Parole released - Number of parole absconders rearrested,0,0,0
MIZORAM,2008,Parole released - Number of persons released on parole,8,0,8
MIZORAM,2008,Parole released - Number of parole absconders,0,0,0
MIZORAM,2008,Parole released - Number of parole absconders rearrested,0,0,0
MIZORAM,2009,Parole released - Number of persons released on parole,0,0,0
MIZORAM,2009,Parole released - Number of parole absconders,0,0,0
MIZORAM,2009,Parole released - Number of parole absconders rearrested,0,0,0
MIZORAM,2010,Parole released - Number of persons released on parole,0,0,0
MIZORAM,2010,Parole released - Number of parole absconders,0,0,0
MIZORAM,2010,Parole released - Number of parole absconders rearrested,0,0,0
MIZORAM,2011,Parole released - Number of persons released on parole,3,0,3
MIZORAM,2011,Parole released - Number of parole absconders,0,0,0
MIZORAM,2011,Parole released - Number of parole absconders rearrested,0,0,0
MIZORAM,2012,Parole released - Number of persons released on parole,15,0,15
MIZORAM,2012,Parole released - Number of parole absconders,0,0,0
MIZORAM,2012,Parole released - Number of parole absconders rearrested,0,0,0
NAGALAND,2001,Parole released - Number of persons released on parole,0,0,0
NAGALAND,2001,Parole released - Number of parole absconders,0,0,0
NAGALAND,2001,Parole released - Number of parole absconders rearrested,0,0,0
NAGALAND,2002,Parole released - Number of persons released on parole,0,0,0
NAGALAND,2002,Parole released - Number of parole absconders,0,0,0
NAGALAND,2002,Parole released - Number of parole absconders rearrested,0,0,0
NAGALAND,2003,Parole released - Number of persons released on parole,0,0,0
NAGALAND,2003,Parole released - Number of parole absconders,0,0,0
NAGALAND,2003,Parole released - Number of parole absconders rearrested,0,0,0
NAGALAND,2004,Parole released - Number of persons released on parole,0,0,0
NAGALAND,2004,Parole released - Number of parole absconders,0,0,0
NAGALAND,2004,Parole released - Number of parole absconders rearrested,0,0,0
NAGALAND,2005,Parole released - Number of persons released on parole,0,0,0
NAGALAND,2005,Parole released - Number of parole absconders,0,0,0
NAGALAND,2005,Parole released - Number of parole absconders rearrested,0,0,0
NAGALAND,2006,Parole released - Number of persons released on parole,0,0,0
NAGALAND,2006,Parole released - Number of parole absconders,0,0,0
NAGALAND,2006,Parole released - Number of parole absconders rearrested,0,0,0
NAGALAND,2007,Parole released - Number of persons released on parole,0,0,0
NAGALAND,2007,Parole released - Number of parole absconders,0,0,0
NAGALAND,2007,Parole released - Number of parole absconders rearrested,0,0,0
NAGALAND,2008,Parole released - Number of persons released on parole,0,0,0
NAGALAND,2008,Parole released - Number of parole absconders,0,0,0
NAGALAND,2008,Parole released - Number of parole absconders rearrested,0,0,0
NAGALAND,2009,Parole released - Number of persons released on parole,0,0,0
NAGALAND,2009,Parole released - Number of parole absconders,0,0,0
NAGALAND,2009,Parole released - Number of parole absconders rearrested,0,0,0
NAGALAND,2010,Parole released - Number of persons released on parole,1,0,1
NAGALAND,2010,Parole released - Number of parole absconders,0,0,0
NAGALAND,2010,Parole released - Number of parole absconders rearrested,0,0,0
NAGALAND,2011,Parole released - Number of persons released on parole,0,0,0
NAGALAND,2011,Parole released - Number of parole absconders,0,0,0
NAGALAND,2011,Parole released - Number of parole absconders rearrested,0,0,0
NAGALAND,2012,Parole released - Number of persons released on parole,0,0,0
NAGALAND,2012,Parole released - Number of parole absconders,0,0,0
NAGALAND,2012,Parole released - Number of parole absconders rearrested,0,0,0
ORISSA,2001,Parole released - Number of persons released on parole,122,0,122
ORISSA,2001,Parole released - Number of parole absconders,1,0,1
ORISSA,2001,Parole released - Number of parole absconders rearrested,0,0,0
ORISSA,2002,Parole released - Number of persons released on parole,100,0,100
ORISSA,2002,Parole released - Number of parole absconders,0,0,0
ORISSA,2002,Parole released - Number of parole absconders rearrested,0,0,0
ORISSA,2003,Parole released - Number of persons released on parole,45,0,45
ORISSA,2003,Parole released - Number of parole absconders,0,0,0
ORISSA,2003,Parole released - Number of parole absconders rearrested,0,0,0
ORISSA,2004,Parole released - Number of persons released on parole,85,0,85
ORISSA,2004,Parole released - Number of parole absconders,0,0,0
ORISSA,2004,Parole released - Number of parole absconders rearrested,0,0,0
ORISSA,2005,Parole released - Number of persons released on parole,127,0,127
ORISSA,2005,Parole released - Number of parole absconders,1,0,1
ORISSA,2005,Parole released - Number of parole absconders rearrested,0,0,0
ORISSA,2006,Parole released - Number of persons released on parole,133,0,133
ORISSA,2006,Parole released - Number of parole absconders,3,0,3
ORISSA,2006,Parole released - Number of parole absconders rearrested,1,0,1
ORISSA,2007,Parole released - Number of persons released on parole,158,0,158
ORISSA,2007,Parole released - Number of parole absconders,3,0,3
ORISSA,2007,Parole released - Number of parole absconders rearrested,1,0,1
ORISSA,2008,Parole released - Number of persons released on parole,57,0,57
ORISSA,2008,Parole released - Number of parole absconders,0,0,0
ORISSA,2008,Parole released - Number of parole absconders rearrested,0,0,0
ORISSA,2009,Parole released - Number of persons released on parole,88,0,88
ORISSA,2009,Parole released - Number of parole absconders,0,0,0
ORISSA,2009,Parole released - Number of parole absconders rearrested,0,0,0
ORISSA,2010,Parole released - Number of persons released on parole,127,0,127
ORISSA,2010,Parole released - Number of parole absconders,0,0,0
ORISSA,2010,Parole released - Number of parole absconders rearrested,0,0,0
ORISSA,2011,Parole released - Number of persons released on parole,135,1,136
ORISSA,2011,Parole released - Number of parole absconders,0,0,0
ORISSA,2011,Parole released - Number of parole absconders rearrested,0,0,0
ORISSA,2012,Parole released - Number of persons released on parole,152,0,152
ORISSA,2012,Parole released - Number of parole absconders,0,0,0
ORISSA,2012,Parole released - Number of parole absconders rearrested,0,0,0
PUNJAB,2001,Parole released - Number of persons released on parole,2648,156,2804
PUNJAB,2001,Parole released - Number of parole absconders,0,0,0
PUNJAB,2001,Parole released - Number of parole absconders rearrested,0,0,0
PUNJAB,2002,Parole released - Number of persons released on parole,3769,147,3916
PUNJAB,2002,Parole released - Number of parole absconders,11,0,11
PUNJAB,2002,Parole released - Number of parole absconders rearrested,1,0,1
PUNJAB,2003,Parole released - Number of persons released on parole,2595,199,2794
PUNJAB,2003,Parole released - Number of parole absconders,727,2,729
PUNJAB,2003,Parole released - Number of parole absconders rearrested,5,0,5
PUNJAB,2004,Parole released - Number of persons released on parole,2608,206,2814
PUNJAB,2004,Parole released - Number of parole absconders,786,5,791
PUNJAB,2004,Parole released - Number of parole absconders rearrested,8,0,8
PUNJAB,2005,Parole released - Number of persons released on parole,2625,225,2850
PUNJAB,2005,Parole released - Number of parole absconders,798,10,808
PUNJAB,2005,Parole released - Number of parole absconders rearrested,10,0,10
PUNJAB,2006,Parole released - Number of persons released on parole,2735,241,2976
PUNJAB,2006,Parole released - Number of parole absconders,645,11,656
PUNJAB,2006,Parole released - Number of parole absconders rearrested,7,0,7
PUNJAB,2007,Parole released - Number of persons released on parole,2693,231,2924
PUNJAB,2007,Parole released - Number of parole absconders,531,9,540
PUNJAB,2007,Parole released - Number of parole absconders rearrested,5,0,5
PUNJAB,2008,Parole released - Number of persons released on parole,4824,252,5076
PUNJAB,2008,Parole released - Number of parole absconders,54,0,54
PUNJAB,2008,Parole released - Number of parole absconders rearrested,17,0,17
PUNJAB,2009,Parole released - Number of persons released on parole,5347,346,5693
PUNJAB,2009,Parole released - Number of parole absconders,60,3,63
PUNJAB,2009,Parole released - Number of parole absconders rearrested,16,1,17
PUNJAB,2010,Parole released - Number of persons released on parole,5874,326,6200
PUNJAB,2010,Parole released - Number of parole absconders,54,2,56
PUNJAB,2010,Parole released - Number of parole absconders rearrested,24,1,25
PUNJAB,2011,Parole released - Number of persons released on parole,6284,362,6646
PUNJAB,2011,Parole released - Number of parole absconders,63,2,65
PUNJAB,2011,Parole released - Number of parole absconders rearrested,27,1,28
PUNJAB,2012,Parole released - Number of persons released on parole,8630,395,9025
PUNJAB,2012,Parole released - Number of parole absconders,114,1,115
PUNJAB,2012,Parole released - Number of parole absconders rearrested,62,0,62
RAJASTHAN,2001,Parole released - Number of persons released on parole,545,10,555
RAJASTHAN,2001,Parole released - Number of parole absconders,0,0,0
RAJASTHAN,2001,Parole released - Number of parole absconders rearrested,0,0,0
RAJASTHAN,2002,Parole released - Number of persons released on parole,910,9,919
RAJASTHAN,2002,Parole released - Number of parole absconders,4,0,4
RAJASTHAN,2002,Parole released - Number of parole absconders rearrested,1,0,1
RAJASTHAN,2003,Parole released - Number of persons released on parole,1072,17,1089
RAJASTHAN,2003,Parole released - Number of parole absconders,11,0,11
RAJASTHAN,2003,Parole released - Number of parole absconders rearrested,3,0,3
RAJASTHAN,2004,Parole released - Number of persons released on parole,1195,7,1202
RAJASTHAN,2004,Parole released - Number of parole absconders,15,0,15
RAJASTHAN,2004,Parole released - Number of parole absconders rearrested,4,0,4
RAJASTHAN,2005,Parole released - Number of persons released on parole,1462,28,1490
RAJASTHAN,2005,Parole released - Number of parole absconders,27,0,27
RAJASTHAN,2005,Parole released - Number of parole absconders rearrested,3,0,3
RAJASTHAN,2006,Parole released - Number of persons released on parole,1610,43,1653
RAJASTHAN,2006,Parole released - Number of parole absconders,30,0,30
RAJASTHAN,2006,Parole released - Number of parole absconders rearrested,5,0,5
RAJASTHAN,2007,Parole released - Number of persons released on parole,1616,35,1651
RAJASTHAN,2007,Parole released - Number of parole absconders,40,4,44
RAJASTHAN,2007,Parole released - Number of parole absconders rearrested,14,0,14
RAJASTHAN,2008,Parole released - Number of persons released on parole,1478,26,1504
RAJASTHAN,2008,Parole released - Number of parole absconders,23,0,23
RAJASTHAN,2008,Parole released - Number of parole absconders rearrested,8,0,8
RAJASTHAN,2009,Parole released - Number of persons released on parole,2016,38,2054
RAJASTHAN,2009,Parole released - Number of parole absconders,59,0,59
RAJASTHAN,2009,Parole released - Number of parole absconders rearrested,13,0,13
RAJASTHAN,2010,Parole released - Number of persons released on parole,1686,45,1731
RAJASTHAN,2010,Parole released - Number of parole absconders,37,1,38
RAJASTHAN,2010,Parole released - Number of parole absconders rearrested,10,0,10
RAJASTHAN,2011,Parole released - Number of persons released on parole,1956,21,1977
RAJASTHAN,2011,Parole released - Number of parole absconders,39,0,39
RAJASTHAN,2011,Parole released - Number of parole absconders rearrested,10,0,10
RAJASTHAN,2012,Parole released - Number of persons released on parole,1289,23,1312
RAJASTHAN,2012,Parole released - Number of parole absconders,33,0,33
RAJASTHAN,2012,Parole released - Number of parole absconders rearrested,10,0,10
SIKKIM,2001,Parole released - Number of persons released on parole,0,0,0
SIKKIM,2001,Parole released - Number of parole absconders,0,0,0
SIKKIM,2001,Parole released - Number of parole absconders rearrested,0,0,0
SIKKIM,2002,Parole released - Number of persons released on parole,0,0,0
SIKKIM,2002,Parole released - Number of parole absconders,0,0,0
SIKKIM,2002,Parole released - Number of parole absconders rearrested,0,0,0
SIKKIM,2003,Parole released - Number of persons released on parole,0,0,0
SIKKIM,2003,Parole released - Number of parole absconders,0,0,0
SIKKIM,2003,Parole released - Number of parole absconders rearrested,0,0,0
SIKKIM,2004,Parole released - Number of persons released on parole,0,0,0
SIKKIM,2004,Parole released - Number of parole absconders,0,0,0
