TimePeriod,Area_Name,Indicator_Name,Data_Value
2005, Bihar,Number of times inmates taken to courts,588965
2005, Sikkim,Number of times inmates taken to courts,2928
2005, Nagaland,Number of times inmates taken to courts,207
2005, Manipur,Number of times inmates taken to courts,198
2005, Mizoram,Number of times inmates taken to courts,1352
2005, Tripura,Number of times inmates taken to courts,7138
2005, Meghalaya,Number of times inmates taken to courts,2142
2005, Assam,Number of times inmates taken to courts,71000
2005, West Bengal,Number of times inmates taken to courts,158536
2005, Jharkhand,Number of times inmates taken to courts,271076
2005, Odisha,Number of times inmates taken to courts,46224
2005, Chhattisgarh,Number of times inmates taken to courts,86212
2005, Madhya Pradesh,Number of times inmates taken to courts,11145
2005, Gujarat,Number of times inmates taken to courts,233826
2005,Daman & Diu,Number of times inmates taken to courts,232
2005,Dadra & Nagar Haveli,Number of times inmates taken to courts,0
2005, Maharashtra,Number of times inmates taken to courts,378895
2005, Andhra Pradesh,Number of times inmates taken to courts,166501
2005, Karnataka,Number of times inmates taken to courts,162312
2005, Goa,Number of times inmates taken to courts,8972
2005,Lakshadweep,Number of times inmates taken to courts,0
2005, Kerala,Number of times inmates taken to courts,21618
2005, Tamil Nadu,Number of times inmates taken to courts,106618
2005,Puducherry,Number of times inmates taken to courts,7149
2005,Andaman & Nicobar Islands,Number of times inmates taken to courts,0
2006, Jammu & Kashmir,Number of times inmates taken to courts,31495
2006, Himachal Pradesh,Number of times inmates taken to courts,18375
2006, Punjab,Number of times inmates taken to courts,1221
2006,Chandigarh,Number of times inmates taken to courts,12120
2006, Uttarakhand,Number of times inmates taken to courts,3687
2006,Delhi,Number of times inmates taken to courts,284986
2006, Rajasthan,Number of times inmates taken to courts,72121
2006, Uttar Pradesh,Number of times inmates taken to courts,453144
2006, Bihar,Number of times inmates taken to courts,454130
2006, Sikkim,Number of times inmates taken to courts,2409
2006, Nagaland,Number of times inmates taken to courts,202
2006, Manipur,Number of times inmates taken to courts,229
2006, Mizoram,Number of times inmates taken to courts,1446
2006, Tripura,Number of times inmates taken to courts,8206
2006, Meghalaya,Number of times inmates taken to courts,2309
2006, Assam,Number of times inmates taken to courts,56859
2006, West Bengal,Number of times inmates taken to courts,133202
2006, Jharkhand,Number of times inmates taken to courts,181785
2006, Odisha,Number of times inmates taken to courts,48561
2006, Chhattisgarh,Number of times inmates taken to courts,99417
2006, Madhya Pradesh,Number of times inmates taken to courts,102460
2006, Gujarat,Number of times inmates taken to courts,107881
2006,Daman & Diu,Number of times inmates taken to courts,214
2006,Dadra & Nagar Haveli,Number of times inmates taken to courts,0
2006, Maharashtra,Number of times inmates taken to courts,362910
2006, Andhra Pradesh,Number of times inmates taken to courts,175547
2006, Karnataka,Number of times inmates taken to courts,180121
2006, Goa,Number of times inmates taken to courts,7873
2006,Lakshadweep,Number of times inmates taken to courts,0
2006, Kerala,Number of times inmates taken to courts,63590
2006, Tamil Nadu,Number of times inmates taken to courts,107717
2006,Puducherry,Number of times inmates taken to courts,5937
2006,Andaman & Nicobar Islands,Number of times inmates taken to courts,2096
2007, Jammu & Kashmir,Number of times inmates taken to courts,35932
2007, Himachal Pradesh,Number of times inmates taken to courts,17323
2007, Punjab,Number of times inmates taken to courts,1187
2007,Chandigarh,Number of times inmates taken to courts,10255
2007, Uttarakhand,Number of times inmates taken to courts,3470
2007, Haryana,Number of times inmates taken to courts,146808
2007,Delhi,Number of times inmates taken to courts,276277
2007, Rajasthan,Number of times inmates taken to courts,60801
2007, Uttar Pradesh,Number of times inmates taken to courts,471255
2007, Bihar,Number of times inmates taken to courts,497239
2007, Sikkim,Number of times inmates taken to courts,4169
2007, Nagaland,Number of times inmates taken to courts,271
2007, Manipur,Number of times inmates taken to courts,255
2007, Mizoram,Number of times inmates taken to courts,1137
